"Country or Area"|"Year"|"Area"|"Sex"|"Age"|"Record Type"|"Reliability"|"Source Year"|"Value"|"Value Footnotes"
"Germany"|"2018"|"Total"|"Male"|"44"|"Estimate - de jure"|"Final figure, complete"|"2018"|"480406"|"1"
"Germany"|"2018"|"Total"|"Male"|"45"|"Estimate - de jure"|"Final figure, complete"|"2018"|"521427"|"1"
"Germany"|"2018"|"Total"|"Male"|"45 - 49"|"Estimate - de jure"|"Final figure, complete"|"2018"|"2999227"|"1"
"Germany"|"2018"|"Total"|"Male"|"46"|"Estimate - de jure"|"Final figure, complete"|"2018"|"573950"|"1"
"Germany"|"2018"|"Total"|"Male"|"47"|"Estimate - de jure"|"Final figure, complete"|"2018"|"594683"|"1"
"Germany"|"2018"|"Total"|"Male"|"48"|"Estimate - de jure"|"Final figure, complete"|"2018"|"639853"|"1"
"Germany"|"2018"|"Total"|"Male"|"49"|"Estimate - de jure"|"Final figure, complete"|"2018"|"669314"|"1"
"Germany"|"2018"|"Total"|"Male"|"50"|"Estimate - de jure"|"Final figure, complete"|"2018"|"685715"|"1"
"Germany"|"2018"|"Total"|"Male"|"50 - 54"|"Estimate - de jure"|"Final figure, complete"|"2018"|"3517989"|"1"
"Germany"|"2018"|"Total"|"Male"|"51"|"Estimate - de jure"|"Final figure, complete"|"2018"|"703280"|"1"
"Germany"|"2018"|"Total"|"Male"|"52"|"Estimate - de jure"|"Final figure, complete"|"2018"|"705583"|"1"
"Germany"|"2018"|"Total"|"Male"|"53"|"Estimate - de jure"|"Final figure, complete"|"2018"|"715918"|"1"
"Germany"|"2018"|"Total"|"Male"|"54"|"Estimate - de jure"|"Final figure, complete"|"2018"|"707493"|"1"
"Germany"|"2018"|"Total"|"Male"|"55"|"Estimate - de jure"|"Final figure, complete"|"2018"|"681241"|"1"
"Germany"|"2018"|"Total"|"Male"|"55 - 59"|"Estimate - de jure"|"Final figure, complete"|"2018"|"3196294"|"1"
"Germany"|"2018"|"Total"|"Male"|"56"|"Estimate - de jure"|"Final figure, complete"|"2018"|"667103"|"1"
"Germany"|"2018"|"Total"|"Male"|"57"|"Estimate - de jure"|"Final figure, complete"|"2018"|"642005"|"1"
"Germany"|"2018"|"Total"|"Male"|"58"|"Estimate - de jure"|"Final figure, complete"|"2018"|"621641"|"1"
"Germany"|"2018"|"Total"|"Male"|"59"|"Estimate - de jure"|"Final figure, complete"|"2018"|"584304"|"1"
"Germany"|"2018"|"Total"|"Male"|"60"|"Estimate - de jure"|"Final figure, complete"|"2018"|"566996"|"1"
